車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
スープラ,情報なし,3.0 RZ 後期　 387馬力 TRDマフラー ターボ 1オーナー　禁煙車　黒革　純正19インチAW　JBLサウンド　メーカーナビ　バックカメラ　6灯式LEDヘッド　プリクラ　BSM　レークル　クリソナ　ETC,764.4万円,2024(R06),60km,なし,フロアMTモード付8AT,3000CC,2025-08-08T23:39:47.445753,2025-08-08,23:39:47,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6467599793/index.html
スープラ,情報なし,3.0 RZ,615.9万円,2022(R04),1.3万km,なし,フロア8AT,3000CC,2025-08-08T23:39:47.447946,2025-08-08,23:39:47,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6452341705/index.html
スープラ,情報なし,3.0 RZ 禁煙車/クルーズコントロール/JBL,689.8万円,2022(R04),0.6万km,なし,フロア8AT,3000CC,2025-08-08T23:39:47.450640,2025-08-08,23:39:47,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6411931087/index.html
スープラ,情報なし,3.0 RZ 8速AT/SupraConnectHDDナビ/セーフティセンス/バックカメラ/JBLプレミアムサウンド/ハーフレザーシート/パワーシート&シートヒーター/HUD/AVS/鍛造19AW/6灯LED/Bremboブレーキ/ETC/ドラレコ,771.2万円,2023(R05),0.2万km,なし,フロアMTモード付8AT,3000CC,2025-08-08T23:39:47.453374,2025-08-08,23:39:47,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6410496897/index.html
スープラ,情報なし,3.0 RZ ターボ　プリクラッシュ　ブラインドスポット　レーダークルーズ　純正8.8インチナビ　JBL　ハーフレザー　パワーシート　brembo製レッドキャリパー　6灯式LEDヘッド　バックカメラ　パドルシフト,689.9万円,2021(R03),0.8万km,なし,フロアMTモード付8AT,3000CC,2025-08-08T23:39:47.456063,2025-08-08,23:39:47,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6386437950/index.html
スープラ,情報なし,3.0 RZ 新車保証継承付　ワンオーナー　JBL　HUD,691.6万円,2021(R03),0.5万km,なし,フロア8AT,3000CC,2025-08-08T23:39:47.458784,2025-08-08,23:39:47,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6437336898/index.html
スープラ,情報なし,2.0 SZ LEDヘッドライトターボナビスポーツAT搭載,441.7万円,2022(R04),5.9万km,なし,フロアMTモード付8AT,2000CC,2025-08-08T23:39:47.460946,2025-08-08,23:39:47,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6069112300/index.html
スープラ,情報なし,3.0 RZ 禁煙車　純正8.8インチナビ　JBLサウンド　ドラレコ　ETC　ヘッドアップディスプレイ　レッドキャリパー　Bカメラ　フルセグTV　Bluetooth　パワーシート　温シート　衝突軽減　LEDライト,648.9万円,2020(R02),0.7万km,なし,フロアMTモード付8AT,3000CC,2025-08-08T23:39:47.463513,2025-08-08,23:39:47,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6449569980/index.html
スープラ,情報なし,3.0 RZ ワンオーナー　BLITZタワーバー　JBLサウンド　ハーフレザーシート　ROHANブラックコーストライン　アーティシャンフロントフェンダー　レースチップサブコンピューター　デジタルインナーミラー,597.8万円,2020(R02),2.5万km,なし,フロアMTモード付8AT,3000CC,2025-08-08T23:39:47.466276,2025-08-08,23:39:47,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6361678259/index.html
スープラ,情報なし,3.0 RZ 6速MT/バックモニター/シートヒーター/JBL,749.8万円,2024(R06),0.9万km,なし,フロア6MT,3000CC,2025-08-08T23:39:47.469004,2025-08-08,23:39:47,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6384275061/index.html
